n,room,time
1,basic,3.6
1,basic,4.16
1,basic,5.0
1,basic,2.16
1,basic,5.36
1,basic,4.32
1,basic,4.36
1,basic,3.52
3,basic,4.6
3,basic,3.76
3,basic,5.04
3,basic,4.72
3,basic,5.84
3,basic,5.12
3,basic,4.4
3,basic,4.28
5,basic,7.68
5,basic,7.32
5,basic,4.96
5,basic,5.16
5,basic,5.2
5,basic,6.32
5,basic,5.0
5,basic,4.48
7,basic,5.96
7,basic,5.96
7,basic,6.0
7,basic,6.4
7,basic,5.8
7,basic,6.96
7,basic,4.88
7,basic,5.68
9,basic,8.4
9,basic,7.04
9,basic,6.0
9,basic,6.44
9,basic,7.76
9,basic,8.48
9,basic,6.24
9,basic,6.28
11,basic,7.32
11,basic,6.28
11,basic,6.0
11,basic,6.52
11,basic,6.8
11,basic,8.88
11,basic,9.16
11,basic,7.16
11,basic,7.64
13,basic,9.08
13,basic,7.44
13,basic,7.52
13,basic,9.08
13,basic,8.08
13,basic,7.24
13,basic,8.16
13,basic,8.68
13,basic,8.08
13,basic,7.24
15,basic,8.0
15,basic,8.92
15,basic,8.6
15,basic,9.92
15,basic,9.12
15,basic,9.6
15,basic,11.0
15,basic,10.72
15,basic,9.32
15,basic,8.32
17,basic,8.8
17,basic,8.56
17,basic,8.84
17,basic,10.32
17,basic,9.4
17,basic,9.2
17,basic,11.48
17,basic,12.48
17,basic,9.44
17,basic,10.52
19,basic,10.6
19,basic,10.0
19,basic,9.8
19,basic,10.92
19,basic,11.04
19,basic,10.64
19,basic,12.48
19,basic,12.64
19,basic,12.04
19,basic,9.68
21,basic,11.2
21,basic,11.12
21,basic,10.16
21,basic,11.32
21,basic,11.44
21,basic,12.36
21,basic,13.8
21,basic,14.72
21,basic,11.0
21,basic,11.44
23,basic,12.04
23,basic,11.48
23,basic,12.24
23,basic,12.64
23,basic,13.28
23,basic,13.64
23,basic,15.6
23,basic,13.8
23,basic,10.76
23,basic,12.72
25,basic,13.04
25,basic,13.16
25,basic,13.52
25,basic,13.28
25,basic,13.24
25,basic,14.24
25,basic,13.24
25,basic,13.8
25,basic,13.16
25,basic,12.56
25,basic,13.28
25,basic,13.56
27,basic,13.96
27,basic,13.84
27,basic,15.16
27,basic,13.0
27,basic,14.08
27,basic,13.64
27,basic,14.24
27,basic,13.6
27,basic,14.0
27,basic,14.04
27,basic,12.72
27,basic,13.92
29,basic,15.52
29,basic,16.28
29,basic,16.36
29,basic,13.68
29,basic,14.84
29,basic,15.72
29,basic,15.8
29,basic,15.12
29,basic,14.92
29,basic,15.0
29,basic,16.2
29,basic,15.2
31,basic,16.92
31,basic,14.88
31,basic,15.96
31,basic,16.76
31,basic,16.32
31,basic,15.32
31,basic,16.4
31,basic,15.8
31,basic,15.96
31,basic,15.72
31,basic,15.4
31,basic,15.92
33,basic,16.6
33,basic,17.4
33,basic,17.12
33,basic,16.92
33,basic,17.52
33,basic,17.28
33,basic,16.88
33,basic,18.48
33,basic,17.16
33,basic,16.4
33,basic,15.8
33,basic,16.76
35,basic,17.32
35,basic,18.56
35,basic,17.44
35,basic,16.88
35,basic,17.84
35,basic,17.32
35,basic,17.12
35,basic,18.2
35,basic,17.68
35,basic,17.0
35,basic,17.04
35,basic,16.4
37,basic,19.12
37,basic,20.36
37,basic,19.72
37,basic,18.8
37,basic,20.16
37,basic,17.6
37,basic,19.32
37,basic,19.92
37,basic,17.96
37,basic,18.4
37,basic,20.92
37,basic,18.88
39,basic,19.12
39,basic,20.56
39,basic,20.48
39,basic,18.56
39,basic,19.56
39,basic,18.72
39,basic,20.56
39,basic,19.52
39,basic,20.48
39,basic,19.8
39,basic,20.2
39,basic,20.04
41,basic,19.76
41,basic,20.32
41,basic,20.8
