n,room,time
99,basic,50.24
99,basic,48.32
99,basic,48.4
99,basic,47.4
97,basic,46.48
97,basic,47.84
97,basic,46.36
97,basic,47.6
95,basic,46.72
95,basic,46.76
95,basic,46.8
95,basic,46.24
93,basic,45.44
93,basic,45.6
93,basic,45.24
93,basic,43.84
91,basic,44.48
91,basic,43.8
91,basic,44.76
91,basic,44.24
89,basic,43.88
89,basic,43.72
89,basic,43.84
89,basic,42.44
87,basic,42.76
87,basic,41.12
87,basic,42.28
87,basic,42.64
85,basic,42.08
179,jonesRoom,87.4
179,jonesRoom,87.8
179,jonesRoom,86.64
179,jonesRoom,88.48
177,jonesRoom,87.28
177,jonesRoom,87.8
177,jonesRoom,86.92
177,jonesRoom,86.36
175,jonesRoom,87.16
175,jonesRoom,86.6
175,jonesRoom,84.76
175,jonesRoom,85.88
173,jonesRoom,85.56
173,jonesRoom,85.08
173,jonesRoom,84.32
173,jonesRoom,85.28
